Theta,Gamma,Theta_dot,Gamma_dot
-0.024,0.93900001,0.00168,0.000320001
0.017999999,0.947000027,0.002,0.001279998
0.068000004,0.978999972,0.00168,0.002000003
0.109999999,1.029000044,0.00128,0.001799998
0.142000005,1.074000001,0.00068,0.000840001
0.158999994,1.095000029,0.00032,-0.0004
0.166999996,1.085000038,4.00E-05,-0.002680001
0.167999998,1.018000007,-0.00072,-0.00336
0.150000006,0.934000015,-0.00156,-0.002079999
0.111000001,0.882000029,-0.00156,-0.000680001
0.071999997,0.86500001,-0.00172,0.000839999
0.028999999,0.885999978,-0.00152,0.001360002
-0.009,0.920000017,-0.00104,0.001039999
-0.035,0.94599998,-0.00068,0.000800002
-0.052000001,0.966000021,-0.00024,0.00036
-0.057999998,0.975000024,0.00024,-0.000400002
-0.052000001,0.964999974,0.00116,-0.00112
-0.023,0.936999977,0.00164,0.000400002
0.017999999,0.947000027,0.00192,0.000999999
0.066,0.972000003,0.00176,0.00204
0.109999999,1.023000002,0.00124,0.00184
0.141000003,1.069000006,0.00068,0.000999999
0.158000007,1.093999982,0.00024,-0.000239997
0.164000005,1.088000059,0.00012,-0.002280002
0.166999996,1.031000018,-0.00052,-0.00332
0.153999999,0.948000014,-0.00144,-0.00244
0.118000001,0.887000024,-0.00164,-0.00112
0.077,0.859000027,-0.00168,0.000719998
0.035,0.876999974,-0.0016,0.00148
-0.005,0.913999975,-0.0012,0.001200001
-0.035,0.944000006,-0.00068,0.00076
-0.052000001,0.963,-0.00024,0.000439999
-0.057999998,0.973999977,0.0002,-0.00036
-0.052999999,0.964999974,0.00116,-0.001079998
-0.024,0.938000023,0.0016,0.000279999
0.016000001,0.944999993,0.00184,0.000640001
0.061999999,0.961000025,0.00172,0.002
0.104999997,1.011000037,0.00132,0.00184
0.137999997,1.057000041,0.0008,0.001359997
0.158000007,1.090999961,0.00024,-0.000119996
0.164000005,1.088000059,0.00016,-0.002040005
0.167999998,1.036999941,-0.00044,-0.003159997
0.157000005,0.958000004,-0.00132,-0.002520001
0.123999998,0.894999981,-0.00172,-0.00128
0.081,0.862999976,-0.00168,0.00056
0.039000001,0.876999974,-0.0016,0.001320002
-0.001,0.910000026,-0.00132,0.001279998
-0.034000002,0.941999972,-0.00064,0.000800002
-0.050000001,0.962000012,-0.00028,0.00052
-0.057,0.975000024,0.00016,-0.00036
-0.052999999,0.966000021,0.00112,-0.001160002
-0.025,0.936999977,0.00516,0.002760003
0.104000002,1.006000042,0.00144,0.001799998
0.140000001,1.050999999,0.00076,0.001440001
0.158999994,1.087000012,0.00028,-0.000120001
0.165999994,1.083999991,0.00016,-0.001760001
0.170000002,1.039999962,-0.0004,-0.003
0.159999996,0.964999974,-0.00124,-0.002639999
0.128999993,0.898999989,-0.00176,-0.001359999
0.085000001,0.86500001,-0.00164,0.00036
0.044,0.874000013,-0.00168,0.00128
0.002,0.906000018,-0.00136,0.001359999
-0.032000002,0.939999998,-0.00056,0.00072
-0.046,0.958000004,-0.00032,0.000680001
-0.054000001,0.975000024,0.00012,-0.000400002
-0.050999999,0.964999974,0.001,-0.00112
-0.026000001,0.936999977,0.00164,0.000240002
0.015,0.943000019,0.0018,0.000599999
0.059999999,0.958000004,0.00176,0.001800001
0.104000002,1.003000021,0.00148,0.00184
0.141000003,1.049000025,0.00088,0.001560001
0.163000003,1.088000059,0.0004,0.000119996
0.172999993,1.090999961,0.00016,-0.00164
0.177000001,1.049999952,-0.0004,-0.003199997
0.166999996,0.970000029,-0.00132,-0.002840002
0.134000003,0.898999989,-0.00168,-0.001559999
0.092,0.860000014,-0.00152,0.000479999
0.054000001,0.871999979,-0.00176,0.001240001
0.01,0.902999997,-0.00144,0.00148
-0.026000001,0.939999998,-0.00064,0.000680001
-0.041999999,0.957000017,-0.00044,0.000679998
-0.052999999,0.973999977,8.00E-05,-0.000239999
-0.050999999,0.967999995,0.00096,-0.00112
-0.027000001,0.939999998,0.00164,4.00E-05
0.014,0.940999985,0.0018,0.00052
0.059,0.953999996,0.0018,0.001760001
0.104000002,0.998000026,0.00152,0.00184
0.142000005,1.04400003,0.00096,0.001719999
0.165999994,1.087000012,0.00036,0.0002
0.174999997,1.092000008,0.00024,-0.001399999
0.180999994,1.057000041,-0.00028,-0.002920001
0.173999995,0.984000027,-0.00136,-0.003040001
0.140000001,0.907999992,-0.0018,-0.001719999
0.094999999,0.86500001,-0.00144,0.00036
0.059,0.874000013,-0.0018,0.001239998
0.014,0.904999971,-0.00144,0.001240001
-0.022,0.93599999,-0.00088,0.000840001
-0.044,0.957000017,-0.00036,0.000679998
-0.052999999,0.973999977,0,-0.000239999
-0.052999999,0.967999995,0.00096,-0.001040001
