Theta,Gamma,Theta_dot,Gamma_dot
0.046999998,0.915000021,1.20E-04,7.20E-04
0.050000001,0.933000028,0.00032,0.002879999
0.057999998,1.004999995,0.00056,0.002639999
0.071999997,1.07099998,0.00016,0.00152
0.075999998,1.108999968,-1.20E-04,-8.00E-05
0.072999999,1.106999993,4.00E-05,-0.002080002
0.074000001,1.054999948,-0.00056,-0.002759998
0.059999999,0.986000001,-0.00016,-0.001600001
0.056000002,0.94599998,2.00E-04,-0.000239999
0.061000001,0.939999998,-4.00E-05,-0.000480001
0.059999999,0.927999973,-0.00068,-0.000159998
0.043000001,0.924000025,-0.00064,0.0004
0.027000001,0.934000015,-8.80E-04,0.000839999
0.005,0.954999983,0.00016,0
0.009,0.954999983,6.80E-04,-0.0004
0.026000001,0.944999993,6.00E-04,-0.00096
0.041000001,0.921000004,0.00012,-1.20E-04
0.044,0.917999983,0.0002,0.000680001
0.048999999,0.935000002,0.0004,2.92E-03
0.059,1.008000016,5.60E-04,0.00256
0.072999999,1.072000027,0.00016,0.001199999
0.077,1.101999998,-8.00E-05,4.00E-05
0.075000003,1.103000045,-4.00E-05,-0.001800003
0.074000001,1.057999969,-6.40E-04,-0.002679999
0.057999998,0.990999997,-8.00E-05,-0.001600001
0.056000002,0.950999975,8.00E-05,-0.000319998
0.057999998,0.943000019,-4.00E-05,-0.0004
0.057,0.933000028,-0.00064,-0.000320001
0.041000001,0.925000012,-6.00E-04,0.00036
0.026000001,0.934000015,-9.60E-04,0.000999999
0.002,0.958999991,1.60E-04,-4.00E-05
0.006,0.958000004,0.00064,-5.20E-04
0.022,0.944999993,0.00072,-7.60E-04
0.039999999,0.925999999,8.00E-05,-2.80E-04
0.041999999,0.91900003,0.00024,0.000479999
0.048,0.930999994,0.00048,0.002800002
0.059999999,1.001000047,5.20E-04,0.002599998
0.072999999,1.065999985,0.0002,0.001440001
0.078000002,1.101999998,-8.00E-05,0.000279999
0.075999998,1.108999968,-1.60E-04,-0.00164
0.071999997,1.067999959,-0.00068,-0.002759998
0.055,0.999000013,-0.00012,-0.00188
0.052000001,0.952000022,1.20E-04,-0.000440001
0.055,0.940999985,-4.00E-05,-0.00052
0.054000001,0.927999973,-0.0004,-0.000319998
0.044,0.920000017,-0.00064,0.000439999
0.028000001,0.930999994,-1.08E-03,1.08E-03
0.001,0.958000004,0.00016,-4.00E-05
0.005,0.957000017,0.00068,-0.000480001
0.022,0.944999993,0.0008,-0.0004
0.041999999,0.935000002,0.00012,-0.00056
0.045000002,0.921000004,0.0002,0.000320001
0.050000001,0.92900002,0.00048,0.002639999
0.061999999,0.995000005,4.00E-04,0.002639999
0.071999997,1.06099999,0.00028,0.001560001
0.079000004,1.100000024,-8.00E-05,2.80E-04
0.077,1.106999993,-1.60E-04,-0.001479998
0.072999999,1.070000052,-0.00052,-0.00256
0.059999999,1.006000042,-0.0002,-0.002040002
0.055,0.954999983,8.00E-05,-0.00036
0.057,0.94599998,8.00E-05,-0.00036
0.059,0.936999977,-6.40E-04,-0.00036
0.043000001,0.927999973,-0.00056,0.000240002
0.028999999,0.934000015,-0.00104,0.000999999
0.003,0.958999991,0.00E+00,8.00E-05
0.003,0.961000025,0.00068,-0.000600002
0.02,0.94599998,0.0008,-4.40E-04
0.039999999,0.935000002,0.00012,-0.000639999
0.043000001,0.91900003,1.60E-04,3.20E-04
0.046999998,0.926999986,0.00048,2.44E-03
0.059,0.987999976,3.20E-04,0.002640002
0.067000002,1.05400002,0.00024,0.001679997
0.072999999,1.095999956,-4.00E-05,2.40E-04
0.071999997,1.101999998,-8.00E-05,-1.12E-03
0.07,1.074000001,-2.80E-04,-0.002080002
0.063000001,1.021999955,-0.0002,-0.002399998
0.057999998,0.962000012,-4.00E-05,-0.000640001
0.057,0.94599998,8.00E-05,-0.000239999
0.059,0.939999998,-0.0004,-0.000320001
0.048999999,0.931999981,-0.00064,0.00016
0.033,0.93599999,-8.40E-04,0.00076
0.012,0.954999983,-2.40E-04,2.00E-04
0.006,0.959999979,0.0006,-0.00056
0.021,0.94599998,0.00092,-0.000119998
0.044,0.943000019,8.00E-05,-0.00092
0.046,0.920000017,1.20E-04,1.20E-04
0.048999999,0.922999978,0.00048,0.002320001
0.061000001,0.981000006,3.60E-04,0.002679999
0.07,1.047999978,0.00024,0.00184
0.075999998,1.093999982,4.00E-05,4.80E-04
0.077,1.105999947,-0.00048,-0.005479999
0.064999998,0.968999982,-2.40E-04,-0.000839999
0.059,0.948000014,4.00E-05,-0.000280001
0.059999999,0.940999985,-0.00028,-0.000319998
0.052999999,0.933000028,-0.00076,0.00E+00
0.034000002,0.933000028,-0.00088,0.00076
0.012,0.952000022,-2.40E-04,0.0002
0.006,0.957000017,4.40E-04,-5.20E-04
0.017000001,0.944000006,0.00092,-8.00E-05
0.039999999,0.941999972,0.00028,-0.000919998
0.046999998,0.91900003,8.00E-05,0.000119998
0.048999999,0.921999991,0.00052,1.92E-03
0.061999999,0.970000029,4.40E-04,0.002639999
0.072999999,1.036000013,0.00024,0.002119999
0.079000004,1.088999987,0.00012,0.00092
0.082000002,1.111999989,-2.00E-04,-6.80E-04
0.077,1.095000029,-0.00016,-0.00244
0.072999999,1.034000039,-0.0004,-0.002440002
0.063000001,0.97299999,-0.0002,-1.00E-03
0.057999998,0.948000014,4.00E-05,-0.000320001
0.059,0.939999998,-0.0004,-0.000639999
0.048999999,0.924000025,-0.00064,0.0002
0.033,0.92900002,-1.00E-03,0.001039999
0.008,0.954999983,-0.00024,0.000240002
0.002,0.961000025,0.00044,-0.000600002
0.013,0.94599998,7.20E-04,0.00E+00
0.030999999,0.94599998,0.00044,-0.001079998
0.041999999,0.91900003,1.60E-04,4.00E-05
0.046,0.920000017,0.00052,0.00168
0.059,0.962000012,4.40E-04,0.002719998
0.07,1.029999971,0.00024,0.002119999
0.075999998,1.082999945,0,0.001040001
0.075999998,1.108999968,-0.00016,-0.000439997
0.071999997,1.09800005,-2.40E-04,-0.00224
0.066,1.042000055,-4.40E-04,-0.002440002
0.055,0.981000006,-0.00024,-0.002479999
0.048999999,0.91900003,-0.00056,0.0002
0.035,0.924000025,-0.00084,0.00092
0.014,0.947000027,-4.80E-04,4.80E-04
0.002,0.958999991,4.00E-04,-0.00052
0.012,0.94599998,0.00072,0.00E+00
0.029999999,0.94599998,0.0004,-0.001199999
0.039999999,0.916000009,0.00016,8.00E-05
0.044,0.917999983,0.00044,0.00164
0.055,0.958999991,0.00036,0.002839999
0.064000003,1.029999971,0.0002,0.002080002
0.068999998,1.082000017,-0.00012,0.00052
0.066,1.095000029,-0.00024,-4.00E-04
0.059999999,1.085000038,-0.00012,-0.001480002
0.057,1.047999978,-0.00036,-0.002319999
0.048,0.99000001,-4.00E-05,-1.36E-03
0.046999998,0.95599997,0.00E+00,-0.000479999
0.046999998,0.944000006,-0.00016,-0.00092
0.043000001,0.921000004,-0.0004,0.00016
0.033,0.925000012,-0.00032,3.20E-04
0.025,0.933000028,-6.40E-04,6.80E-04
0.009,0.949999988,4.00E-04,-0.0004
0.018999999,0.939999998,0.00076,-0.000120001
0.037999999,0.936999977,0.0004,-0.000879998
0.048,0.915000021,4.00E-05,4.00E-05
0.048999999,0.916000009,0.00036,1.24E-03
0.057999998,0.947000027,0.00032,0.002880001
0.066,1.019000053,0.0004,0.00224
0.075999998,1.075000048,8.00E-05,0.001359997
0.078000002,1.108999968,-0.00012,-0.000159998
0.075000003,1.105000019,0.00E+00,-0.002200003
0.075000003,1.049999952,-0.00052,-0.002679999
0.061999999,0.98299998,-0.0002,-0.001359999
0.057,0.949000001,0.00012,-0.00016
0.059999999,0.944999993,4.00E-05,-0.0004
0.061000001,0.935000002,-8.00E-04,-8.00E-05
0.041000001,0.933000028,-0.0006,0.0002
0.026000001,0.938000023,-0.00088,0.000839999
0.004,0.958999991,2.80E-04,-3.20E-04
0.011,0.950999975,0.00072,-0.000239999
0.028999999,0.944999993,0.00052,-0.00092
0.041999999,0.921999991,8.00E-05,-0.000119998
0.044,0.91900003,0.00028,8.40E-04
0.050999999,0.939999998,0.0004,0.002879999
0.061000001,1.011999965,0.00056,0.00244
0.075000003,1.072999954,0.0002,0.001360002
0.079999998,1.106999993,-0.00012,-4.00E-05
0.077,1.105999947,-4.00E-05,-0.001999998
0.075999998,1.055999994,-6.40E-04,-0.00276
0.059999999,0.986999989,-0.00012,-0.001440001
0.057,0.950999975,8.00E-05,-0.000239999
0.059,0.944999993,4.00E-05,-0.000320001
0.059999999,0.936999977,-0.0008,-0.000119998
0.039999999,0.934000015,-0.00064,0.0002
0.024,0.93900001,-8.80E-04,0.000880001
0.002,0.961000025,2.00E-04,-8.00E-05
