Theta,Gamma,Theta_dot,Gamma_dot,Current 0,Current 1 ,Foot Force
-0.055,0.925000012,-0.00048,0.000639999,1.585000038,1.376000047,-0.348715363
-0.067000002,0.940999985,-0.00032,0.0004,2.328999996,1.00999999,0.224587408
-0.075000003,0.950999975,0.00044,-0.000799999,3.664000034,0.145999998,1.358283244
-0.064000003,0.930999994,0.00128,-8.00E-05,4.864999771,-1.944000006,3.235654306
-0.032000002,0.92900002,0.00164,0.00112,5.157999992,-4.239999771,4.979084138
0.009,0.957000017,0.00176,0.00184,6.613999844,-7.504000187,7.962950157
0.052999999,1.003000021,0.0014,0.00184,8.095999718,-11.31000042,11.46393592
0.088,1.049000025,0.00088,0.001279998,9.630999565,-13.92399979,14.14326694
0.109999999,1.08099997,0.00048,0,8.744999886,-14.77999973,14.60499979
0.122000001,1.08099997,0.0004,-0.00152,6.480999947,-12.52900028,12.11194953
0.131999999,1.042999983,8.00E-05,-0.002319999,3.865999937,-10.20600033,9.448538709
0.134000003,0.985000014,-0.00108,-0.002720001,1.302000046,-7.981999874,6.90807776
0.107000001,0.916999996,-0.00144,-0.001559999,1.654000044,-6.34800005,5.721858099
0.071000002,0.878000021,-0.00132,-8.00E-05,0.832000017,-4.420000076,3.84924949
0.037999999,0.875999987,-0.00152,0.00056,0.063000001,-2.217999935,1.76444106
0,0.889999986,-0.00136,0.00056,0.796999991,-0.252000004,0.476286282
-0.034000002,0.903999984,-0.0008,0.000800002,0.949999988,1.095999956,-0.434335283
-0.054000001,0.924000025,-0.00052,0.000679998,1.496999979,1.274000049,-0.313682917
-0.067000002,0.940999985,-0.0004,0.00052,2.219000101,1.190000057,0.058338015
-0.077,0.953999996,0.00028,-0.00052,3.53399992,0.432000011,1.119250778
-0.07,0.940999985,0.0012,-0.00056,4.862999916,-1.661999941,3.047569504
-0.039999999,0.926999986,0.00184,0.001240001,5.781000137,-4.132999897,5.129816249
0.006,0.958000004,0.00192,0.00168,6.393000126,-7.237999916,7.676304662
0.054000001,1,0.0016,0.001799998,7.934000015,-11.07900047,11.23810608
0.093999997,1.044999957,0.00104,0.001480002,8.756999969,-14.04199982,13.9580889
0.119999997,1.082000017,0.0006,0.000320001,8.470000267,-14.78199959,14.56442589
0.135000005,1.090000033,0.00052,-0.001400003,6.03000021,-13.15600014,12.51724522
0.148000002,1.054999948,0,-0.002559998,2.60800004,-10.76099968,9.541749595
0.148000002,0.990999997,-0.001,-0.002839999,1.243000031,-8.562000275,7.414407629
0.123000003,0.920000017,-0.00144,-0.001760001,1.402999997,-7.136000156,6.342422381
0.086999997,0.875999987,-0.00152,-0.000279999,1.041000009,-5.111000061,4.531827579
0.048999999,0.869000018,-0.00164,0.00072,-0.016000001,-2.542999983,2.020847676
0.008,0.887000024,-0.00148,0.00056,1.047000051,-0.675999999,0.886343805
-0.028999999,0.901000023,-0.001,0.000999999,0.930999994,0.871999979,-0.286408341
-0.054000001,0.925999999,-0.0006,0.00076,1.422000051,1.631000042,-0.590447356
-0.068999998,0.944999993,-0.00036,0.0004,2.164999962,1.546000004,-0.198878877
-0.078000002,0.954999983,0.00024,-0.0004,3.46600008,0.518000007,1.036745377
-0.071999997,0.944999993,0.00116,-0.00076,4.639999866,-1.343000054,2.745710004
-0.043000001,0.925999999,0.00204,0.001199999,5.729000092,-3.750999928,4.836797206
0.008,0.95599997,0.002,0.001680002,5.977000237,-6.941999912,7.312393017
0.057999998,0.998000026,0.0016,0.001719999,7.546000004,-10.85700035,10.94998036
0.097999997,1.041000009,0.0012,0.001599998,8.875,-14.01599979,14.00256941
0.128000006,1.08099997,0.00064,0.000480003,7.752999783,-14.97999954,14.51725754
0.143999994,1.093000054,0.00048,-0.001200004,6.05700016,-13.52999973,12.87183768
0.156000003,1.062999964,4.00E-05,-0.002559998,3.525000095,-11.20199966,10.23260965
0.157000005,0.999000013,-0.00096,-0.002880001,1.361999989,-9.031999588,7.865127372
0.133000001,0.926999986,-0.00144,-0.001759999,0.998000026,-7.396999836,6.454636869
0.097000003,0.883000016,-0.00156,-0.000480001,0.828000009,-5.138000011,4.501563118
0.057999998,0.870999992,-0.00172,0.000680001,-0.057,-2.90899992,2.31497548
0.015,0.888000011,-0.00164,0.001039999,-0.013,-0.759000003,0.575183875
-0.026000001,0.913999975,-0.00084,0.000400002,0.777999997,0.925999999,-0.379460214
-0.046999998,0.924000025,-0.0006,0.000639999,1.300999999,1.315999985,-0.428812291
-0.061999999,0.939999998,-0.00048,0.000680001,2.036000013,1.406000018,-0.170984966
-0.074000001,0.957000017,0.00028,-0.00052,3.148000002,0.577000022,0.865583715
-0.067000002,0.944000006,0.00112,-0.000880001,4.453000069,-1.351999998,2.675021014
-0.039000001,0.921999991,0.00204,0.00112,5.252999783,-3.944999933,4.798020998
0.012,0.949999988,0.002,0.001800001,5.705999851,-6.803999901,7.127278514
0.061999999,0.995000005,0.00352,0.00408,7.013000011,-10.5880003,10.57567568
0.150000006,1.097000003,0.00056,-0.000999999,6.459000111,-13.85099983,13.29640177
0.164000005,1.072000027,0.00012,-0.002639999,3.555000067,-11.72900009,10.70338564
0.166999996,1.006000042,-0.00088,-0.002920001,1.026000023,-9.215000153,7.945631804
0.144999996,0.933000028,-0.00148,-0.001760001,1.003000021,-7.762000084,6.796910294
0.108000003,0.888999999,-0.00156,-0.00076,0.799000025,-5.65199995,4.940202227
0.068999998,0.870000005,-0.00184,0.000680001,0.02,-3.084000111,2.506605765
0.023,0.887000024,-0.00156,0.001239998,-0.259000003,-1.01699996,0.692378804
-0.016000001,0.917999983,-0.00092,0.00092,0.653999984,0.782000005,-0.328308426
-0.039000001,0.940999985,-0.00064,0.000840001,0.616999984,1.226999998,-0.628859507
-0.055,0.962000012,-0.0002,0.000479999,1.06099999,1.473999977,-0.596141065
-0.059999999,0.973999977,0.00024,-0.0004,2.015000105,0.500999987,0.459171139
-0.054000001,0.963999987,0.0012,-0.000999999,3.391000032,-1.126000047,2.106492742
-0.024,0.93900001,0.00168,0.000320001,5.077000141,-3.851000071,4.677342178
0.017999999,0.947000027,0.002,0.001279998,5.083000183,-6.46600008,6.668275057
0.068000004,0.978999972,0.00168,0.002000003,6.669000149,-10.61699963,10.52433003
0.109999999,1.029000044,0.00128,0.001799998,8.157999992,-13.94799995,13.77524488
0.142000005,1.074000001,0.00068,0.000840001,8.105999947,-15.36299992,15.02283576
0.158999994,1.095000029,0.00032,-0.0004,6.197000027,-14.43700027,13.72987416
0.166999996,1.085000038,4.00E-05,-0.002680001,3.316999912,-11.79100037,10.68227103
0.167999998,1.018000007,-0.00072,-0.00336,1.003000021,-9.519000053,8.171688051
0.150000006,0.934000015,-0.00156,-0.002079999,0.536000013,-8.218999863,7.055256151
0.111000001,0.882000029,-0.00156,-0.000680001,0.765999973,-5.923999786,5.183452335
0.071999997,0.86500001,-0.00172,0.000839999,-0.086999997,-3.480999947,2.808542904
0.028999999,0.885999978,-0.00152,0.001360002,0.324999988,-1.220999956,1.059568094
-0.009,0.920000017,-0.00104,0.001039999,0.890999973,0.632000029,-0.135843161
-0.035,0.94599998,-0.00068,0.000800002,0.531000018,1.388000011,-0.777812808
-0.052000001,0.966000021,-0.00024,0.00036,0.85799998,1.488000035,-0.687659223
-0.057999998,0.975000024,0.00024,-0.000400002,2.719000101,0.674000025,0.6187491
-0.052000001,0.964999974,0.00116,-0.00112,3.153000116,-1.101999998,1.99629895
-0.023,0.936999977,0.00164,0.000400002,4.34499979,-3.536000013,4.176807661
0.017999999,0.947000027,0.00192,0.000999999,5.008999825,-6.349999905,6.554892005
0.066,0.972000003,0.00176,0.00204,6.960999966,-10.42099953,10.4771169
0.109999999,1.023000002,0.00124,0.00184,8.307999611,-13.76500034,13.68893239
0.141000003,1.069000006,0.00068,0.000999999,8.597000122,-15.48999977,15.28568312
0.158000007,1.093999982,0.00024,-0.000239997,6.485000134,-14.4630003,13.84119827
0.164000005,1.088000059,0.00012,-0.002280002,3.673000097,-11.93599987,10.8991692
0.166999996,1.031000018,-0.00052,-0.00332,0.796000004,-9.501000404,8.063317804
0.153999999,0.948000014,-0.00144,-0.00244,1.389000058,-8.237999916,7.315748008
0.118000001,0.887000024,-0.00164,-0.00112,0.583999991,-6.388000011,5.527192053
0.077,0.859000027,-0.00168,0.000719998,0.159999996,-3.75999999,3.140696518
0.035,0.876999974,-0.0016,0.00148,-0.180000007,-1.430999994,1.058580589
-0.005,0.913999975,-0.0012,0.001200001,0.474000007,0.39199999,-0.116399282
-0.035,0.944000006,-0.00068,0.00076,0.556999981,1.386999965,-0.768161439
-0.052000001,0.963,-0.00024,0.000439999,0.592000008,1.585000038,-0.860427147
