Theta,Gamma,Theta_dot,Gamma_dot
0.055,1.125,-0.0002,0.00132
0.050000001,1.157999992,-0.00064,-0.001399999
0.034000002,1.123000026,-0.00044,-0.003600001
0.023,1.032999992,-0.00036,-0.00276
0.014,0.963999987,-0.00056,-0.001559999
0,0.925000012,-2.00E-04,0.000320001
-0.005,0.933000028,-0.00016,0.000679998
-0.009,0.949999988,0.00048,0.000599999
0.003,0.964999974,-4.00E-05,-8.00E-05
0.002,0.963,0.00E+00,8.00E-05
0.002,0.964999974,4.00E-05,4.00E-05
0.003,0.966000021,0.0008,-0.000440001
0.023,0.954999983,0.0004,-0.00108
0.033,0.927999973,1.20E-04,0.001400001
0.035999998,0.963,3.20E-04,2.56E-03
0.044,1.02699995,3.60E-04,0.002120004
0.052999999,1.080000043,0.0002,0.001759996
0.057999998,1.123999953,-0.00028,0.001280003
0.050999999,1.156000018,-0.00056,-1.24E-03
0.037,1.125,-0.00032,-0.00296
0.028999999,1.050999999,-0.0002,-0.002720001
0.024,0.98299998,-9.20E-04,-0.00204
0.001,0.931999981,-0.00028,8.00E-05
-0.006,0.934000015,0,0.00052
-0.006,0.947000027,0.00028,0.000599999
0.001,0.962000012,0,0
0.001,0.962000012,4.00E-05,8.00E-05
0.002,0.963999987,4.00E-05,-4.00E-05
0.003,0.963,0.00072,-8.00E-05
0.021,0.961000025,0.00056,-0.001440001
0.035,0.925000012,1.20E-04,1.36E-03
0.037999999,0.958999991,0.00044,2.44E-03
0.048999999,1.019999981,0.0002,0.002160001
0.054000001,1.074000001,0.00032,0.001919999
0.061999999,1.121999979,-0.0002,1.28E-03
0.057,1.154000044,-0.00048,-0.000840001
0.045000002,1.133000016,-1.20E-04,-0.00256
0.041999999,1.069000006,-0.00012,-0.002920001
0.039000001,0.995999992,-0.00116,-0.002319999
0.01,0.938000023,-0.00048,-0.0002
-0.002,0.933000028,-8.00E-05,0.000319998
-0.004,0.940999985,-0.0002,0.0004
-0.009,0.950999975,0.00048,0.000480001
0.003,0.963,-4.00E-05,4.00E-05
0.002,0.963999987,-8.00E-05,0.000280001
0,0.971000016,0.00076,-0.0004
0.018999999,0.961000025,0.0006,-0.00148
0.034000002,0.924000025,8.00E-05,0.001359999
0.035999998,0.958000004,0.00044,0.002520001
0.046999998,1.021000028,2.00E-04,0.00204
0.052000001,1.072000027,0.00024,0.001719999
0.057999998,1.11500001,-0.00016,0.001279998
0.054000001,1.146999955,-0.00036,-4.80E-04
0.045000002,1.13499999,0.00E+00,-0.002199998
0.045000002,1.080000043,-0.00016,-0.003200002
0.041000001,1,-1.16E-03,-0.002360001
0.012,0.940999985,-4.80E-04,-0.0004
0,0.930999994,-0.00016,0.00036
-0.004,0.939999998,-0.00016,0.000480001
-0.008,0.952000022,0.00044,0.000439999
0.003,0.963,0.00E+00,4.00E-05
0.003,0.963999987,-0.00016,0.000599999
-0.001,0.978999972,0.0006,-0.000719998
0.014,0.961000025,0.00076,-0.001400001
0.033,0.925999999,0,1.12E-03
0.033,0.953999996,0.00036,0.00244
0.041999999,1.014999986,0.00016,0.002200003
0.046,1.070000052,0.00036,0.001679997
0.055,1.111999989,-8.00E-05,0.001360002
0.052999999,1.146000028,-3.20E-04,-2.40E-04
0.045000002,1.139999986,-4.00E-05,-0.002160001
0.044,1.085999966,-0.00024,-0.003280001
0.037999999,1.003999949,-1.04E-03,-0.002639997
0.012,0.938000023,-4.80E-04,-0.000320001
0,0.930000007,-0.00016,0.0004
-0.004,0.939999998,0.00016,0.000880001
0,0.962000012,8.00E-05,4.00E-05
0.002,0.963,4.00E-05,0
0.003,0.963,-0.00012,0.000480001
0,0.975000024,-0.00028,0.000879998
-0.007,0.996999979,0.00052,-0.0024
0.006,0.936999977,2.40E-04,8.80E-04
0.012,0.958999991,0.0004,0.001560001
0.022,0.998000026,0.00048,0.002399998
0.034000002,1.057999969,0.00068,0.002280002
0.050999999,1.11500001,0.00028,0.001599998
0.057999998,1.154999971,-0.0002,-0.000120001
0.052999999,1.15199995,-3.20E-04,-0.002879996
0.045000002,1.080000043,0,-0.003360002
0.045000002,0.995999992,-0.00092,-0.00184
0.022,0.949999988,-0.00064,-0.001159999
0.006,0.921000004,-0.00024,0.00052
0,0.934000015,-0.00016,0.000639999
-0.004,0.949999988,0.00032,0.000440001
0.004,0.961000025,-4.00E-05,4.00E-05
0.003,0.962000012,-0.00012,0.0004
0,0.972000003,4.40E-04,-0.000439999
0.011,0.961000025,7.20E-04,-1.24E-03
0.028999999,0.930000007,0.0002,0.00056
0.034000002,0.944000006,0.00012,0.001959999
0.037,0.992999971,0.0004,0.002279999
0.046999998,1.049999952,0.00032,0.002280002
0.055,1.106999993,0.00016,0.001440001
0.059,1.143000007,-0.00012,0.000320001
0.056000002,1.151000023,-4.80E-04,-0.002720003
0.044,1.082999945,0,-0.003519998
0.044,0.995000005,-0.00088,-0.001960001
0.022,0.94599998,-0.0006,-0.00112
0.007,0.917999983,-0.00016,0.00076
0.003,0.936999977,-4.00E-05,0.000960002
0.002,0.961000025,0,4.00E-05
0.002,0.962000012,0,0
0.002,0.962000012,-4.00E-05,0.000279999
0.001,0.968999982,8.00E-05,-2.00E-04
0.003,0.963999987,0.00072,-1.24E-03
0.021,0.933000028,0.00028,0.000479999
0.028000001,0.944999993,8.00E-05,0.00152
0.029999999,0.98299998,0.00024,0.002440002
0.035999998,1.04400003,0.00056,0.002319999
0.050000001,1.101999998,0.0002,0.001480002
0.055,1.139000058,-0.00024,0.000639997
0.048999999,1.154999971,-0.0006,-0.00256
0.034000002,1.090999961,0.00E+00,-0.003519998
0.034000002,1.003000021,-7.60E-04,-0.00224
0.015,0.947000027,-0.0006,-0.000960002
0,0.922999978,-0.00016,0.000640001
-0.004,0.93900001,0.00016,0.00096
0,0.963,0.00012,0.00E+00
0.003,0.963,0,0
0.003,0.963,-8.00E-05,0.0002
0.001,0.967999995,-1.60E-04,4.40E-04
-0.003,0.978999972,7.20E-04,-1.76E-03
0.015,0.935000002,0.0004,0.00036
0.025,0.944000006,0.00012,0.00128
0.028000001,0.976000011,0.00032,0.0024
0.035999998,1.036000013,5.60E-04,2.44E-03
0.050000001,1.097000003,2.00E-04,0.00152
0.055,1.13499999,-0.00016,0.000879998
0.050999999,1.156999946,-0.0006,-0.002199998
0.035999998,1.101999998,-4.00E-05,-0.003439999
0.035,1.016000032,-6.40E-04,-0.002400002
0.018999999,0.95599997,-0.00072,-0.00132
0.001,0.922999978,-0.00016,0.000480001
-0.003,0.935000002,0.00E+00,0.000480001
-0.003,0.947000027,0.00028,0.000599999
0.004,0.962000012,-4.00E-05,0
0.003,0.962000012,-4.00E-05,0.00016
0.002,0.966000021,0.0002,-4.00E-04
0.007,0.95599997,0.00076,-0.000839999
0.026000001,0.935000002,0.00048,-4.00E-05
0.037999999,0.934000015,2.00E-04,0.00164
0.043000001,0.975000024,0.0002,0.002519999
0.048,1.037999988,0.00052,2.28E-03
0.061000001,1.095000029,8.00E-05,0.001559997
0.063000001,1.133999944,-8.00E-05,0.000800004
0.061000001,1.154000044,-0.00052,-0.001720004
0.048,1.110999942,-1.60E-04,-0.003479996
0.044,1.024000049,-4.80E-04,-0.002480001
0.032000002,0.962000012,-0.0008,-0.001920002
0.012,0.913999975,-8.00E-05,0.00052
0.01,0.926999986,-1.20E-04,0.001240001
0.007,0.958000004,-2.00E-04,0.00016
0.002,0.962000012,0,4.00E-05
0.002,0.963,0,8.00E-05
0.002,0.964999974,-8.00E-05,3.60E-04
0,0.973999977,0.00072,-0.00096
0.017999999,0.949999988,0.0004,-0.00056
0.028000001,0.93599999,2.00E-04,0.001360002
0.033,0.970000029,0.00024,0.002279997
0.039000001,1.02699995,0.00052,0.002320004
0.052000001,1.085000038,8.00E-05,0.00164
0.054000001,1.126000047,-0.0002,0.001279998
0.048999999,1.157999992,-0.00064,-0.00164
0.033,1.116999984,-1.32E-03,-0.007719998
0,0.924000025,-0.0002,0.00036
-0.005,0.933000028,0,0.00056
-0.005,0.947000027,0.00036,0.000679998
0.004,0.963999987,-4.00E-05,-4.00E-05
0.003,0.963,0,8.00E-05
0.003,0.964999974,0.00012,-0.000239999
0.006,0.958999991,0.00076,-0.000239999
0.025,0.953000009,0.00048,-0.00096
0.037,0.92900002,0.00012,0.00148
0.039999999,0.966000021,0.00028,0.002559998
0.046999998,1.029999971,3.60E-04,0.002080002
0.056000002,1.082000017,0.00016,0.001599998
0.059999999,1.121999979,-2.40E-04,1.20E-03
0.054000001,1.15199995,-5.60E-04,-0.001199999
0.039999999,1.121999979,-0.00016,-0.002639999
0.035999998,1.055999994,-0.00024,-0.002879999
0.029999999,0.984000027,-9.20E-04,-0.0022
0.007,0.92900002,-0.00036,0.00016
-0.002,0.933000028,-4.00E-05,0.000439999
-0.003,0.944000006,0.0002,0.00072
0.002,0.962000012,0,0
0.002,0.962000012,0.00E+00,8.00E-05
0.002,0.963999987,0.00012,-0.0002
0.005,0.958999991,0.00084,-4.00E-05
0.026000001,0.958000004,0.00052,-0.00132
0.039000001,0.925000012,2.00E-04,1.48E-03
0.044,0.962000012,0.0004,2.48E-03
0.054000001,1.024000049,3.20E-04,0.002159996
0.061999999,1.077999949,0.0002,0.00184
0.067000002,1.123999953,-1.60E-04,1.12E-03
0.063000001,1.15199995,-0.00044,-8.40E-04
0.052000001,1.131000042,-1.20E-04,-0.00244
0.048999999,1.070000052,-0.0002,-0.003040001
0.044,0.994000018,-1.08E-03,-0.00224
0.017000001,0.938000023,-0.00048,-0.000120001
0.005,0.935000002,-0.0002,0.00036
0,0.944000006,0,0.000680001
0,0.961000025,4.00E-05,0
0.001,0.961000025,4.00E-05,8.00E-05
0.002,0.963,-0.00016,0.000840001
-0.002,0.984000027,0.00068,-0.000800002
0.015,0.963999987,0.00068,-0.00152
0.032000002,0.925999999,4.00E-05,1.48E-03
0.033,0.963,0.00036,0.002520001
0.041999999,1.026000023,2.80E-04,0.001960001
0.048999999,1.075000048,0.00032,0.00164
0.057,1.116000056,-8.00E-05,1.16E-03
0.055,1.144999981,-0.00028,-0.00052
0.048,1.131999969,0.00E+00,-0.00224
0.048,1.075999975,-2.40E-04,-0.003239999
0.041999999,0.995000005,-0.00104,-0.002320001
0.016000001,0.936999977,-0.00044,-8.00E-05
0.005,0.935000002,-0.00016,0.0004
0.001,0.944999993,-4.00E-05,0.000640001
0,0.961000025,8.00E-05,4.00E-05
0.002,0.962000012,0,4.00E-05
0.002,0.963,-0.00012,0.00072
-0.001,0.981000006,5.20E-04,-0.000640001
0.012,0.964999974,0.00068,-1.40E-03
0.028999999,0.930000007,4.00E-05,0.00132
0.029999999,0.963,0.00036,0.002279999
0.039000001,1.019999981,0.00024,0.00204
0.045000002,1.07099998,3.60E-04,1.80E-03
0.054000001,1.116000056,0,0.001239996
0.054000001,1.146999955,-0.00024,-0.000359998
0.048,1.138000011,-0.00012,-2.72E-03
0.045000002,1.070000052,-0.00016,-0.003080003
0.041000001,0.992999971,-0.00112,-0.002079999
0.013,0.940999985,-0.00048,-0.00056
0.001,0.926999986,-8.00E-05,0.000640001
-0.001,0.943000019,-0.00012,0.000519998
-0.004,0.95599997,0.00028,0.000240002
0.003,0.962000012,-4.00E-05,4.00E-05
0.002,0.963,-0.00012,0.00052
-0.001,0.976000011,5.20E-04,-6.40E-04
0.012,0.959999979,0.0008,-0.001159999
0.032000002,0.930999994,4.00E-05,0.00076
0.033,0.949999988,0.001,0.006359999
0.057999998,1.108999968,0,0.00132
0.057999998,1.14199996,-0.00032,-0.000119996
0.050000001,1.139000058,-2.80E-04,-0.002400002
0.043000001,1.078999996,-4.00E-05,-0.00316
0.041999999,1,-0.00104,-0.002079999
0.016000001,0.948000014,-0.0006,-0.000800002
0.001,0.927999973,0,0.001400001
0.001,0.963,4.00E-05,4.00E-05
0.002,0.963999987,-8.00E-05,0.0004
0,0.973999977,0,8.00E-05
0,0.976000011,0.00064,-0.001560001
0.016000001,0.936999977,0.0002,0.000800002
0.021,0.957000017,0.00028,0.001760001
0.028000001,1.001000047,0.00036,0.002319999
0.037,1.059000015,0.00052,0.001919999
0.050000001,1.106999993,0.0002,0.001480002
0.055,1.144000053,-0.00016,4.00E-05
0.050999999,1.144999981,-0.0004,-0.002799997
0.041000001,1.075000048,-0.00016,-0.003480003
0.037,0.987999976,-0.00096,-1.56E-03
0.013,0.949000001,-4.80E-04,-0.00072
0.001,0.930999994,-0.00012,0.00036
-0.002,0.939999998,0,0.00076
-0.002,0.958999991,0.00016,8.00E-05
0.002,0.961000025,-4.00E-05,8.00E-05
0.001,0.963,-4.00E-05,0.000280001
0,0.970000029,0.0004,-0.000400002
0.01,0.959999979,0.00068,-0.001079998
0.027000001,0.933000028,0.00032,0.000439999
0.035,0.944000006,0.00012,1.84E-03
0.037999999,0.99000001,0.00048,0.00244
0.050000001,1.050999999,0.00032,0.002199998
0.057999998,1.105999947,0.00016,0.001400003
0.061999999,1.141000032,-0.00016,0.000359998
0.057999998,1.149999976,-4.80E-04,-0.00256
0.046,1.085999966,-0.00012,-0.003479998
0.043000001,0.999000013,-0.00088,-0.001800001
0.021,0.953999996,-0.00068,-0.00132
0.004,0.921000004,-1.60E-04,0.00072
0,0.93900001,8.00E-05,0.00096
0.002,0.963,0,0
0.002,0.963,0,0
0.002,0.963,-4.00E-05,1.60E-04
0.001,0.967000008,-0.00024,0.000680001
-0.005,0.984000027,0.00068,-0.001880002
0.012,0.936999977,3.20E-04,0.00036
