Theta,Gamma,Theta_dot,Gamma_dot
-0.008,1.052000046,-0.00016,0
-0.012,1.052000046,0.0018,-0.000680003
0.033,1.034999967,2.16E-03,0.001560001
0.086999997,1.074000001,0.0022,0.00276
0.142000005,1.143000007,0.002,0.00348
0.192000002,1.230000019,0.00112,0.001919999
0.219999999,1.277999997,0.00016,0.000120001
0.224000007,1.281000018,-0.00032,-0.002000003
0.216000006,1.230999947,-0.00032,-0.003319998
0.208000004,1.148000002,-0.00152,-0.003039999
0.170000002,1.072000027,-0.00212,-0.002119999
0.116999999,1.019000053,-0.00188,0.000239997
0.07,1.024999976,-0.0014,0.001040001
0.035,1.050999999,-0.00104,-0.000599999
0.009,1.036000013,-0.0002,-0.000279999
0.004,1.029000044,-0.00012,0.000119996
0.001,1.031999946,-4.00E-05,0.000400004
0,1.042000055,-0.00036,0.000679998
-0.009,1.059000015,0.00072,-0.000360003
0.009,1.049999952,0.002,0.000760002
0.059,1.069000006,0.0024,0.002839999
0.119000003,1.139999986,0.00268,0.003600001
0.186000004,1.230000019,0.00152,0.002319999
0.224000007,1.287999988,0.00024,0.000279999
0.230000004,1.294999957,-0.00024,-0.002119999
0.224000007,1.241999984,-0.00044,-0.003400002
0.213,1.156999946,-0.00164,-0.00388
0.172000006,1.059999943,-0.0022,-0.002159996
0.116999999,1.006000042,-0.00208,0.0004
0.064999998,1.016000032,-0.0016,0.001079998
0.025,1.042999983,-0.001,-0.000640001
0,1.02699995,8.00E-05,0
0.002,1.02699995,4.00E-05,0.000160003
0.003,1.031000018,-4.00E-05,0.000320001
0.002,1.039000034,-0.0006,0.00092
-0.013,1.062000036,0.00164,-0.001200004
0.028000001,1.031999946,0.00216,0.001480002
0.082000002,1.069000006,0.00212,0.003039999
0.135000005,1.144999981,0.00208,0.003080001
0.187000006,1.222000003,0.00148,0.002480001
0.224000007,1.284000039,0.00044,0.000439997
0.234999999,1.294999957,-0.00016,-0.001679997
0.231000006,1.253000021,-0.00028,-0.003559999
0.224000007,1.164000034,-0.00096,-0.004000001
0.200000003,1.06400001,-0.00224,-0.002680001
0.143999994,0.996999979,-0.00232,-0.000119998
0.086000003,0.994000018,-0.00184,0.00148
0.039999999,1.031000018,-0.00148,-0.000360003
0.003,1.021999955,0.00016,-4.00E-05
0.007,1.021000028,8.00E-05,0.000159998
0.009,1.024999976,-0.00036,0.000680003
0,1.042000055,-0.00024,0.001159997
-0.006,1.07099998,0.00124,-0.00164
0.025,1.029999971,0.00228,0.000840001
0.082000002,1.050999999,0.00224,0.002600002
0.137999997,1.116000056,0.00244,0.00388
0.199000001,1.213000059,0.0016,0.002639999
0.238999993,1.279000044,0.00052,0.000439997
0.252000004,1.289999962,-0.00016,-0.000839996
0.247999996,1.269000053,-0.00048,-0.003560004
0.236000001,1.179999948,-0.001,-0.004039998
0.210999995,1.078999996,-0.00236,-0.003039999
0.151999995,1.003000021,-0.00232,-0.00056
0.093999997,0.989000022,-0.00196,0.001519997
0.045000002,1.02699995,-0.00168,-0.000279999
0.003,1.019999981,0.00028,0
0.01,1.019999981,-4.00E-05,0.000120001
0.009,1.023000002,-0.00032,0.000599999
0.001,1.037999988,4.00E-05,0.001360002
0.002,1.072000027,0.00124,-0.001440001
0.033,1.036000013,0.0022,0.0004
0.088,1.046000004,0.00224,0.002480001
0.143999994,1.10800004,0.00248,0.00368
0.206,1.200000048,0.00176,0.003479996
0.25,1.286999941,0.000319999,0.000400004
0.257999986,1.297000051,-0.00028,-0.000760002
0.250999987,1.277999997,-0.00036,-0.003200002
0.241999999,1.197999954,-9.20E-04,-0.00408
0.218999997,1.095999956,-0.0018,-0.002399998
0.173999995,1.036000013,-0.00256,-1.12E-03
0.109999999,1.008000016,-0.00172,0.001440001
0.067000002,1.04400003,-0.00176,-4.00E-05
0.023,1.042999983,-0.00072,-0.000759997
0.005,1.024000049,0.00012,8.00E-05
0.008,1.026000023,-0.00028,0.0004
0.001,1.036000013,0.00028,0.001440001
0.008,1.072000027,0.0016,-0.00112
0.048,1.04400003,0.00756,0.009319997
0.237000003,1.27699995,-8.00E-05,-0.000479999
0.234999999,1.264999986,-0.0004,-0.002880001
0.224999994,1.192999959,-0.0006,-0.003799996
0.209999993,1.09800005,-0.00196,-0.003080001
0.160999998,1.021000028,-0.00224,-0.001120002
0.104999997,0.992999971,-0.0018,0.001359999
0.059999999,1.02699995,-0.00172,0.000440001
0.017000001,1.037999988,-0.0006,-0.000599999
0.002,1.023000002,0.00016,8.00E-05
0.006,1.024999976,-0.0002,0.0004
0.001,1.034999967,0.00016,0.001200004
0.005,1.065000057,0.00136,-0.00184
0.039000001,1.019000053,0.00196,0.000839996
0.088,1.039999962,0.00128,0.003559999
0.119999997,1.128999949,0.00172,0.001960001
0.163000003,1.177999973,0.00176,0.00276
0.207000002,1.246999979,0.0008,0.001199999
0.226999998,1.27699995,4.00E-05,-0.000519996
0.228,1.264000058,-0.00028,-0.002920003
0.221000001,1.190999985,-0.00052,-0.00368
0.208000004,1.098999977,-0.00176,-0.003119998
0.164000005,1.021000028,-0.00224,-0.001160002
0.108000003,0.991999984,-0.00232,0.000840001
0.050000001,1.013000011,-1.36E-03,-4.00E-05
0.016000001,1.011999965,4.00E-05,8.00E-05
0.017000001,1.014000058,-4.00E-05,4.00E-05
0.016000001,1.014999986,-0.00056,0.000760002
0.002,1.034000039,8.00E-05,0.000999999
0.004,1.059000015,0.00088,-0.001280003
0.026000001,1.02699995,0.00208,0.000680003
0.078000002,1.04400003,0.00228,0.002399998
0.135000005,1.103999972,0.00224,0.002920003
0.191,1.177000046,0.0018,0.003399997
0.236000001,1.261999965,0.0008,0.001480002
0.256000012,1.299000025,-0.00016,-0.0004
0.252000004,1.289000034,-0.00016,-2.76E-03
0.247999996,1.220000029,-0.00028,-0.003559999
0.240999997,1.131000042,-0.00188,-0.004000001
0.194000006,1.031000018,-0.00264,-0.001520002
0.128000006,0.992999971,-0.0024,0.000840003
0.068000004,1.014000058,-1.48E-03,2.80E-04
0.030999999,1.021000028,-0.00056,-0.000320001
0.017000001,1.013000011,-0.00032,0.000279999
0.009,1.019999981,4.00E-05,2.00E-04
0.01,1.024999976,-0.0004,0.001440001
0,1.06099999,0.00104,-0.001360002
0.026000001,1.02699995,0.00224,0.0004
0.082000002,1.036999941,0.00224,0.002240005
0.137999997,1.093000054,0.00212,0.002599998
0.191,1.157999992,0.00184,0.00368
0.237000003,1.25,0.0006,0.00184
0.252000004,1.296000004,-0.00036,-0.000240002
0.243000001,1.289999962,-0.00056,-0.002599998
0.229000002,1.225000024,-0.00024,-0.003520002
0.223000005,1.136999965,-0.00164,-0.004239998
0.181999996,1.031000018,-0.00252,-0.00168
0.119000003,0.989000022,-0.0026,0.000159998
0.054000001,0.992999971,-1.40E-03,0.000840003
0.018999999,1.014000058,0,0
0.018999999,1.014000058,-4.00E-05,0
0.017999999,1.014000058,-0.00044,0.000559998
0.007,1.027999997,-0.00032,0.001160002
-0.001,1.057000041,0.00088,-0.000680003
0.021,1.039999962,0.00188,-0.000279999
0.068000004,1.032999992,0.00228,0.001919999
0.125,1.08099997,0.00236,0.002920003
0.184,1.154000044,2.04E-03,0.003719997
0.234999999,1.246999979,0.00072,0.00184
0.252999991,1.292999983,-0.00024,-8.00E-05
0.246999994,1.291000009,-0.00036,-0.002400002
0.238000005,1.230999947,-0.00024,-0.00336
0.231999993,1.146999955,-0.00164,-0.00428
0.191,1.039999962,-0.00256,-0.001999998
0.127000004,0.99000001,-0.00268,0
0.059999999,0.99000001,-0.00168,0.000999999
0.017999999,1.014999986,-0.00024,0.000160003
0.012,1.019000053,-4.00E-05,0
0.011,1.019000053,-4.00E-05,0.000159998
0.01,1.023000002,-0.0004,0.00112
0,1.050999999,0.00052,-0.000359998
0.013,1.042000055,0.00208,-0.000480003
